UserName,profileId,systemTimeZone,lastUpdated,uuid,absoluteDays,endDateGMT,endUnit,allDay,calendarTitle,multimediaUrl,activityType.displayText,activityType.iconText,activityType.hasStickyTitle,activityType.isActive,activityType.lastUsedTime,activityType.type,activityType.isOriginalActivity,activityType.displayIndex,activityType.iconUri,calendarType,comment,startDateFull,endDateFull,notificationType,wantsNotification,version,hasRecurranceRules,startUnit,localTimeZone,location,marketPlaceRoutineId,startDate,isDetached,isFromMarketPlaceRoutine,eventIdentifier,calendarItemExternalIdentifier,title,type,startDateGMT,buildNumber,creationDate,token,Gender,BirthDate,chronotype,UserLocationName
08d03,69eaeb7238,BRT,2025-01-21T21:10:13.000Z,3c0a9f7692,8787,2025-01-22T11:00:00.000Z,32,0,null,null,Uber/Carona/Viagem,null,1,1,"01/21/2025, 18:10:16 -0300",7,1,1,activity_misc_14,0,null,"01/22/2025, 07:30:00 -0300","01/22/2025, 08:00:00 -0300",2,1,2586,0,30,BRT,null,0,"01/22/2025, 07:30:00 -0300",0,0,null,null,Uber/Carona/Viagem,0,2025-01-22T10:30:00.000Z,5.2 (2),"01/21/2025, 18:10:13 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg607,null,null,,null
08d03,69eaeb7238,BRT,2025-02-03T16:12:57.000Z,c363ae52d5,8799,2025-02-03T16:15:00.000Z,53,0,null,null,Dormir,null,0,1,"02/03/2025, 13:12:57 -0300",4,1,1,activity_sleep_0,0,null,"02/03/2025, 11:15:00 -0300","02/03/2025, 13:15:00 -0300",2,1,2676,0,45,BRT,null,0,null,0,0,null,null,Dormir,0,2025-02-03T14:15:00.000Z,5.2 (2),"02/03/2025, 13:12:57 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg608,null,null,,null
08d03,69eaeb7238,BRT,2025-02-12T11:06:01.000Z,9727c5facf,8809,2025-02-13T15:15:00.000Z,49,0,null,null,Atendimento Educare,ð§©,1,1,"02/12/2025, 08:06:01 -0300",2,0,4,activity_work_17,0,null,"02/13/2025, 08:00:00 -0300","02/13/2025, 12:15:00 -0300",2,1,2751,0,32,BRT,null,0,"02/13/2025, 08:00:00 -0300",0,0,null,null,Atendimento Educare,0,2025-02-13T11:00:00.000Z,5.2 (2),"02/12/2025, 08:06:01 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg609,null,null,,null
08d03,69eaeb7238,BRT,2025-01-23T17:18:44.000Z,48a31e6109,8788,2025-01-23T20:15:00.000Z,69,0,null,null,SupervisÃ£o/ Acompanhamento,ð£ï¸,1,1,"01/23/2025, 14:18:44 -0300",2,0,3,activity_work_19,0,null,"01/23/2025, 16:30:00 -0300","01/23/2025, 17:15:00 -0300",2,1,2605,0,66,BRT,null,0,null,0,0,null,null,SupervisÃ£o/ Acompanhamento,0,2025-01-23T19:30:00.000Z,5.2 (2),"01/23/2025, 14:18:44 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg610,null,null,,null
08d03,69eaeb7238,BRT,2025-01-29T18:48:37.000Z,fce1ee3169,8800,2025-02-04T23:00:00.000Z,80,0,null,null,SupervisÃ£o/ Acompanhamento,ð£ï¸,1,1,"01/30/2025, 13:38:53 -0300",2,0,3,activity_work_19,0,null,"02/04/2025, 18:00:00 -0300","02/04/2025, 20:00:00 -0300",2,1,2678,0,72,BRT,null,0,null,0,0,null,null,SupervisÃ£o/ Acompanhamento,0,2025-02-04T21:00:00.000Z,5.2 (2),"01/29/2025, 15:48:37 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg611,null,null,,null
08d03,69eaeb7238,BRT,2025-02-10T21:13:46.000Z,aa7e1abb31,8807,2025-02-11T15:15:00.000Z,49,0,null,null,Atendimento Educare,ð§©,1,1,"02/10/2025, 18:14:06 -0300",2,0,4,activity_work_17,0,null,"02/11/2025, 11:30:00 -0300","02/11/2025, 12:15:00 -0300",2,1,2740,0,46,BRT,null,0,null,0,0,null,null,Atendimento Educare,0,2025-02-11T14:30:00.000Z,5.2 (2),"02/10/2025, 18:13:43 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg612,null,null,,null
08d03,69eaeb7238,BRT,2025-01-28T21:56:52.000Z,9b36a930c1,8795,2025-01-30T20:15:00.000Z,69,0,null,null,Atendimento Educare,ð§©,1,1,"01/28/2025, 18:56:52 -0300",2,0,4,activity_work_17,0,null,"01/30/2025, 13:45:00 -0300","01/30/2025, 17:15:00 -0300",2,1,2645,0,55,BRT,null,0,null,0,0,null,null,Atendimento Educare,0,2025-01-30T16:45:00.000Z,5.2 (2),"01/28/2025, 18:56:52 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg613,null,null,,null
08d03,69eaeb7238,BRT,2025-01-27T13:58:30.000Z,eef4f7804d,8792,2025-01-27T12:30:00.000Z,38,0,null,null,SupervisÃ£o/ Acompanhamento,ð£ï¸,1,1,"01/27/2025, 10:58:30 -0300",2,0,3,activity_work_19,0,null,"01/27/2025, 08:45:00 -0300","01/27/2025, 09:30:00 -0300",2,1,2623,0,35,BRT,null,0,null,0,0,null,null,SupervisÃ£o/ Acompanhamento,0,2025-01-27T11:45:00.000Z,5.2 (2),"01/27/2025, 10:58:30 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg614,null,null,,null
08d03,69eaeb7238,BRT,2025-02-05T10:46:43.000Z,9790002a4e,8801,2025-02-05T13:30:00.000Z,42,0,null,null,Atendimento Educare,ð§©,1,1,"02/05/2025, 07:47:01 -0300",2,0,4,activity_work_17,0,null,"02/05/2025, 08:00:00 -0300","02/05/2025, 10:30:00 -0300",2,1,2684,0,32,BRT,null,0,null,0,0,null,null,Atendimento Educare,0,2025-02-05T11:00:00.000Z,5.2 (2),"02/05/2025, 07:46:43 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg615,null,null,,null
08d03,69eaeb7238,BRT,2025-01-23T23:29:21.000Z,498a5e5b6e,8788,2025-01-24T03:00:00.000Z,96,0,null,null,free,null,1,1,"01/23/2025, 20:29:21 -0300",5,1,22,activity_relax_11,0,null,"01/23/2025, 17:30:00 -0300","01/24/2025, 00:00:00 -0300",2,1,2607,0,70,BRT,null,0,null,0,0,null,null,free,0,2025-01-23T20:30:00.000Z,5.2 (2),"01/23/2025, 20:29:21 -0300",ylw9fw3ig4tnenq11m9ylw9fw3idg616,null,null,,null
